NOM USAGE,IDENTIFIANT UNIQUE,DESCRIPTION,TAGS,NOM OBJET,IDENTIFIANT OBJET,CONTROLEUR LUMIERE OBJET,BROCHE LUMIERE OBJET,NOM PIECE,IDENTIFIANT PIECE,COULEUR,POSITION,BROCHE RUBAN LED
Gérer de manière économe et responsable sa consommation d’eau et d’énergie,2b342350-63d5-4d25-babd-287967896458," L'accés à l'eau étant de plus en plus restraint, il est important d'en préserver la qualité pour protéger notre environnement et notre santé. Pour réduire notre impact environnemental, nous pouvons commencer à  l'utilisation de produits respectueux de l'environnement. Des applications mobiles peuvent également nous aider à identifier les sources de pollution de l'eau et à agir en conséquence.",reduire-sa-consomation;eau;économie;gaspillage,Évier,32be3aad-923a-42a6-af0b-f03e58a85b51,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Gérer de manière économe et responsable sa consommation d’eau et d’énergie,2b342350-63d5-4d25-babd-287967896458," L'accés à l'eau étant de plus en plus restraint, il est important d'en préserver la qualité pour protéger notre environnement et notre santé. Pour réduire notre impact environnemental, nous pouvons commencer à  l'utilisation de produits respectueux de l'environnement. Des applications mobiles peuvent également nous aider à identifier les sources de pollution de l'eau et à agir en conséquence.",reduire-sa-consomation;eau;économie;gaspillage,Baignoire,1a265a82-137a-4a46-9c4c-fd519cf891db,2,A6,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Cuisiner pour se faire du bien et prendre du plaisir en mangeant,fb24c122-fdf7-47d1-bd54-d33c57ab151c,"Cuisiner pour se faire du bien et prendre du plaisir en mangeant peut améliorer notre santé physique et mentale. Cependant, cela peut être difficile pour les personnes qui ne savent pas cuisiner ou qui n'ont pas accès à des aliments sains. Il peut également être difficile de trouver des recettes adaptées à ses besoins ou à ses restrictions alimentaires. Différents sites internet peuvent aider à cuisiner en offrant des recettes et trouver des astuces, faciliter l'achat de produits des saisons, locaux et de qualités, ainsi que de se faire livrer à domicile. ",santé;prendre-du-plaisir;cuisiner,Four et gazinière,98de0ca0-cd0e-4f62-a839-b7568bc62826,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Rester en bonne santé avec le bon équilibre alimentaire,0d507ed2-9a6e-4845-92b0-79af4ef0f298,"Il est essentiel de maintenir une alimentation équilibrée pour rester en bonne santé. Cela implique de consommer des aliments variés en quantités adaptées, tout en évitant les aliments trop gras, sucrés ou salés. ",santé;alimentation,Four et gazinière,98de0ca0-cd0e-4f62-a839-b7568bc62826,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
"Mieux utiliser ses déchets : cuisiner les restes, réutiliser, composter, trier",146e85b3-4af9-4e4f-8599-e09b8208b2c1,Le numérique peut être utile pour apprendre à mieux utiliser ses déchets en offrant des astuces et recettes pour cuisiner les restes et réutiliser les aliments. Certains services en lignes permettent également de mieux trier ses déchets et de trouver les lieux de collecte proches de chez-sois. Le compostage peut également être facilité grâce à internet proposant des conseils et des outils pour composter à la maison. ,compostage;déchets;anti-gaspillage;tri-sélectif,Poubelle,9baefb2e-6442-480b-a735-7f4a2aa266c3,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Trouver des invendus et des bonnes affaires pour éviter le gaspillage,4e343338-df53-4ec8-af74-0151a50bbc88,"Le numérique permet aujourd'hui de lutter contre le gaspillage alimentaire en proposant des plateformes pour acheter des invendus à prix réduits. Cela peut aider les personnes à faibles revenus, réduire la quantité de nourriture jetée et ainsi avoir un impact positif sur l'environnement.",s'alimenter;manger;économiser,Poubelle,9baefb2e-6442-480b-a735-7f4a2aa266c3,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
S’alimenter tout au long de la semaine,d57dd406-5c70-4c8b-a70f-085ec006010d,"Il est important de choisir des aliments variés, de qualités et de vérifier les dates de péremption. Les régimes alimentaires particuliers nécessitent souvent des connaissances spécifiques. ",bio;manger-local,Réfrigérateur,11f475c7-286d-4418-bd9b-eedccb3ec186,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Partager des savoir-faire et cuisiner ensemble (parentalité),5acd5993-3fb7-464d-843b-88549a2fd1a4,L'utilisation d'Internet pour partager des recettes et des savoir-faire culinaires peut aider les parents à impliquer leurs enfants dans la cuisine et à leur apprendre des compétences culinaires importantes.,recettes-de-cuisine;cuisinier;partager,Tables et chaises,91004a04-0983-4720-b7a1-e9ef22658a3c,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Partager la charge mentale de la famille (égalité femme / homme),9cf73f1f-3ca6-4c86-91e0-04f2f2fb4582,Le numérique peut aider à partager la charge mentale de la famille en facilitant la communication et la coordination des tâches entre les membres de la famille. Cela peut répondre à une meilleure répartition des responsabilités entre les hommes et les femmes et contribuer à une plus grande égalité entre les sexes. ,tache-ménagère;charges-mentales;égalité-homme-femme,Tables et chaises,91004a04-0983-4720-b7a1-e9ef22658a3c,,,Cuisine,587e65f0-971e-48a0-bb63-9146f2c2c127,#EE7618,55,
Se connecter à internet et gérer ses forfaits mobiles,c48ef9bd-6fe5-454f-ba3e-2ef5f37a90bc,"Se connecter à internet et gérer ses forfaits mobiles peut sembler compliqué, mais c'est essentiel pour pouvoir accéder aux services en ligne et communiquer avec les autres. Pour se connecter à internet, il est important d'avoir une connexion stable et rapide, ce qui peut nécessiter l'achat d'un équipement spécifique. Pour gérer ses forfaits mobiles, il est important de comprendre les différentes options disponibles et de choisir celle qui convient le mieux à vos besoins.

",forfait;4g;téléphone,Box internet,6b224af1-aad6-45d4-b876-434963208937,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Se connecter à internet et gérer ses forfaits mobiles,c48ef9bd-6fe5-454f-ba3e-2ef5f37a90bc,"Se connecter à internet et gérer ses forfaits mobiles peut sembler compliqué, mais c'est essentiel pour pouvoir accéder aux services en ligne et communiquer avec les autres. Pour se connecter à internet, il est important d'avoir une connexion stable et rapide, ce qui peut nécessiter l'achat d'un équipement spécifique. Pour gérer ses forfaits mobiles, il est important de comprendre les différentes options disponibles et de choisir celle qui convient le mieux à vos besoins.

",forfait;4g;téléphone,Bureau ordinateur,4aed0ec1-bcfb-4199-8dbe-0944ef56b568,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
"Communiquer et garder contact avec les réseaux (Facebook, email, blogging)",a71169bc-4d7e-4fba-90e6-79933d7ce500,Communiquer par le biais des réseaux sociaux permet de garder contact avec ses amis ou sa famille et d'avoir connaissance des actualités. Vous pouvez également trouver des ressources pour vous accompagner dans vos pratiques numériques et vos démarches. ,communication;réseau-sociaux;email,Bureau ordinateur,4aed0ec1-bcfb-4199-8dbe-0944ef56b568,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Organiser son travail et gérer son entreprise,50a0537d-1ba0-4821-8f26-f3f231e194d8,"A l'heure où le télétravail est de plus en plus commun dans nos vies professionnelles, il est important d'avoir des outils numériques pratiques pour pouvoir faire des videoconférences et intéragir avec son équipe mais aussi organiser ses tâches, son calendrier et ses documents",entreprise;entrepreunariat;boite,Bureau ordinateur,4aed0ec1-bcfb-4199-8dbe-0944ef56b568,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Produire des contenus numériques et les diffuser.,ff37dd2b-c376-4d3b-ab6d-0c96beac89da,"Produire des contenus numériques, comme des vidéos, des photos ou des textes, est devenu accessible à tous grâce aux outils numériques. Cependant, leur diffusion doit être effectuée avec prudence, en respectant les droits d'auteur et la vie privée des autres. La création de contenus peut également impliquer l'utilisation de logiciels spécifiques, nécessitant une certaine formation. Pour les diffuser, les réseaux sociaux sont souvent utilisés, mais il est important de comprendre les risques liés à la publication de contenus en ligne, notamment en termes de cybersécurité et de respect de la vie privée.",diffuser-ces-productions;créateur-de-contenu;streamer;youtube,Bureau ordinateur,4aed0ec1-bcfb-4199-8dbe-0944ef56b568,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Travailler de chez soi (Télétravailler et faire une visioconférence),020f19a0-21fb-4cd4-a86a-ab2a6dea8dcf,"Le télétravail est de plus en plus généralisé dans différentes professions. Il peut offrir des avantages comme la flexibilité et l'économie de temps et d'argent. L’augmentation de télétravailleur est possible grâce à des outils de visioconférence, permettent des réunions en ligne. Cependant, le télétravail peut également entraîner des défis sur la séparation des espaces de travail et de vie personnelle.",visio-conférence;travai-là-distance;télétravail,Bureau ordinateur,4aed0ec1-bcfb-4199-8dbe-0944ef56b568,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
La scolarité / éducation,54cce711-5dee-46b7-a316-9739f256d9f5,"Pour entrerprendre et suivre la scolarité de ses enfants, de nombreuses démarches et demandes de renseignements peuvent être effectuées en ligne. Cela vous permet de limiter vos déplacements et d’obtenir rapidement, à distance, de nombreuses informations et des éléments fournis par le rectorat et les services de l’éducation nationale.",scolarité;orientation;ecole,Cartable,6ba8efb3-c66b-4689-abd0-1d68d9685778,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
"Apprendre en s’amusant avec un podcast, un tutoriel, etc.",8f3a0a6e-e951-4e75-ab18-25e35f7220ab,"Pour continuer son apprentissage tout au long de sa vie il existe plusieurs façons amusantes d'apprendre en ligne, notamment les jeux éducatifs, les vidéos et applications éducatives, les cours en ligne, les blogs et sites web éducatifs, ainsi que les réseaux sociaux. Ces ressources peuvent être utilisées pour apprendre de manière interactive sur une variété de sujets, y compris les mathématiques, les langues, les sciences, l'histoire, l'art et la culture. En explorant ces différentes méthodes, vous pouvez trouver celle qui vous convient le mieux pour apprendre en vous amusant sur Internet. 
",se-former;découvrir;apprendre,Dictionnaire,10dd9ae9-97e8-4654-b8ad-499a2c9f81ba,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Traduire un document ou apprendre une langue,6bb0c378-2565-4cfa-b60e-11f8da651cf1,"Traduire un document peut s'avérer être un travail long et intense, mais grâce à Internet il y a des façons plus rapides et performantes de le faire. On peut aussi apprendre des langues en s'amusant, en écoutant des podascts, en regardant des tutoriels, en testant ses connaissances grâce a des quizz en ligne ! A chacun.e son apprentissage. ",parler-une-langue;s'ouvrir-à-d-autres-cultures,Dictionnaire,10dd9ae9-97e8-4654-b8ad-499a2c9f81ba,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Faire des démarches administratives et accéder à ses droits,863a9653-4bd2-4242-8daa-bd6b214318d2,"De nos jours les démarches administratives sont quasiment toutes démarterialisées, avoir un contact avec une vraie personne s'avère compliqué, c'est pourquoi s'informer sur ses droits sociaux est indispensable. Il est possible de faire des simulations en ligne pour savoir à quelles aides nous sommes eligibles. Selon votre situation, différentes informations, structures sont partagées pour réaliser des démarches adaptées à vos besoins.",droits;administration,Etagère à dossier,4ac3580b-5470-46d8-8d90-5530b1a9e095,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
"Gérer son argent (compte en ligne, impôts)",503c427f-0b9a-4a7e-94c3-6daf2caa41e0,"Gérer son argent se fait maintenant en ligne, ainsi que les déclarations d'impôts. Nous pouvons parfois avoir des difficultés à choisir telle ou telle banque, ou faire ses déclarations d'impôts,  c'est pourquoi être accompagné dans ce type de démarches peut s'avérer être une aide précieuse, pour ceux.elle.s qui n'ont pas l'habitude ou qui ne sont pas à l'aise avec les services numériques. ",banque;argents;tresorerie,Etagère à dossier,4ac3580b-5470-46d8-8d90-5530b1a9e095,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
"Organiser, classer, archiver ces données (Drive / Calendrier / todo list / etc.)",c806b8db-84b3-44aa-ba62-eca330728d64,"Reunir toutes ses données, les organiser, les classer, les archiver c'est possible grâce à des services numériques sécurisés, qui vous permettent de ne pas éparpiller vos données personnelles et de vous perdre. Avec le nombre d'informations que nous avons aujourd'hui à stocker, il est nécéssaire d'avoir des services où nous pouvons tout regrouper de façon fiable.",archiver;s'organiser;retrouver-ces-documents,Etagère à dossier,4ac3580b-5470-46d8-8d90-5530b1a9e095,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Choisir son matériel informatique et l’entretenir,36753847-84a6-4d33-828b-039caec376c3,Choisir son matériel informatique peut être complexe pour les novices. Il est important de se renseigner sur les différents types d'appareils et leurs fonctions pour choisir celui qui convient le mieux à ses besoins. Entretenir son matériel informatique permet de prolonger sa durée de vie et de réduire les coûts de réparation. ,entretenir-son-ordinateur;réparer,Imprimante,cf3acdd3-19eb-490b-b825-465b13c937f2,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
"Trouver un travail (rechercher un job, faire un CV et utiliser LinkedIn)",7e4e2bb6-813c-449e-bd60-26a85ec93362,"Trouver du travail peut se faire en se déplacant, en toquant aux portes, mais c'est aussi possible de chercher depuis chez vous en passant par des réseaux professionnels, ou des sites de recrutement.  Pour cela, il est important d'avoir un CV qui mettra en valeur vos compétences par une mise en page claire, grâce à des sites de design facile d'utilisation et accessible gratuitement à tous.te.s. ",entretiens-d-embauches;emploi;formation,Imprimante,cf3acdd3-19eb-490b-b825-465b13c937f2,,,Bureau,10e285bc-e7d2-4464-abde-bdc2b7c4204e,#7e7cc1,120,
Se maintenir en forme et se défouler en pratiquant des activités physique,ec534303-4c9d-4552-8c24-bc2199257520,"Pratiquer une activité physique régulière permet de se maintenir en forme, de se défouler et de prendre soin de sa santé mentale. Il est important de ne pas se culpabiliser si on ne peut pas suivre un rythme intense et de trouver une pratique qui convient à ses besoins et capacités.",santé;fitness;activité-physique;sport,Equipement sportif,9bd9587c-4d37-4abb-8d32-5f7b67758a21,,,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
S’habiller de façon responsable et réparer ses vêtements,03836f92-5de2-4488-a770-f8498d762a33,"Pour s'habiller de manière responsable, il est important d'acheter des vêtements de qualité, de prendre soin de ses vêtements existants en les réparant et en les recyclant, et d'éviter la fast fashion. Les tutoriels en ligne peuvent aider à apprendre à réparer ses vêtements, et les plateformes d'échange ou de vente peuvent permettre de donner une seconde vie à ses vêtements.",mode;friperie;secondes-mains;dégriff,Garde robe,149766bf-4b9d-4383-973c-72034b1c802a,,,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
Avoir un sommeil de qualité et réparateur,184fa9c3-40d3-4581-bbd9-3afe0cf6c18d,"Le sommeil est une de composante majeur de notre santé. Pour un sommeil de qualité, il est important de maintenir une routine de sommeil régulière, d'éviter les écrans avant de se coucher et de créer un environnement propice au sommeil. Des outils peuvent être utiles pour surveiller la qualité de votre sommeil, mais il est important de ne pas se fier uniquement à la technologie pour réguler son rythme de sommeil et d'adapter sont rythme de vie.",santé;sommeil;repos,Lit,ee9a23e6-ed9b-4a09-ba2c-a6cdb3960f04,,,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
Avoir une intimité et une sexualité respectueuse et epanouie,2c8c6c97-1b38-474d-a207-559ef29ff554,"Il est important de respecter son propre rythme et ses limites en matière de sexualité, tout en étant à l'écoute et en respectant celles de son ou sa partenaire. S'informer sur les pratiques et les questions de sexualité peut être un moyen pour mettre de la communication et du dialogue dans les relations intimes. De plus, il est primordial de bien se protéger des infections sexuellement transmissibles et de se renseigner les moyens de contraception à disposition et des impacts qu'ils peuvent avoir tant d'un point de vue hormonal que pour la charge mentale que cela peut représenter.",respect;sexualité;intimité;amusement,Lit,ee9a23e6-ed9b-4a09-ba2c-a6cdb3960f04,,,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
Apprendre à être parents et prendre soin d’un bébé,91cced25-9d56-4611-9c36-8f62d4f8ccb8,"Devenir parents est autant une joie qu'un bouleversement dans une vie et savoir comment s'y prendre n'est pas inné. Pour vivre positivement la parentalité, il est important de s'informer sur les différents aspects tels que l'alimentation, l'hygiène et le développement de l'enfant. Il existe important de trouver, des informations fiables qui nous correspondent, mais l'expérience et l'entraide sont tout aussi importantes. Chaque parent est différent et il n'y a pas de méthode universelle pour élever un enfant, donc il ne faut pas se culpabiliser et faire de son mieux en fonction de ses propres valeurs et de celles de sa famille.",enfants;parentalité;éducation,Lit enfant,7cf7045f-d605-44fa-b4e6-bcc121624871,3,B7,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
Gérer son temps d’écran,8f68b155-50b8-4bb8-a2f5-5be32a35a09d,"Les écrans prennent de plus en plus de place dans nos vies. Il est nécessaire de prendre conscience de son temps d'écran et de fixer des limites pour éviter les risques de dépendance, de dégradation du sommeil, etc. Pour cela, l'on peut privilégier les activités hors écran pour varier les plaisirs et limiter les effets néfastes sur la santé. Il est également possible de se faire aider par des applications qui permettent de suivre son temps d'écran et de se fixer des objectifs adaptés à ses pratiques.",réseau-sociaux;addiction-aux-écrans;temps-d-écran,Table de chevet,31262ece-a362-4847-be80-9373c7be63d9,3,AO,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
S’inspirer et se ressourcer autour de la lecture,691a187e-13bc-4f3d-b55c-207041a77403,"Pour s'inspirer et se ressourcer à travers la lecture, il est important de choisir des livres qui répondent à ses centres d'intérêts et à ses besoins. Les plateformes en ligne permettent d'accéder à une grande variété de livres, mais il ne faut pas négliger l'importance des librairies locales. Il est également bénéfique de partager ses découvertes littéraires avec d'autres passionnés de lecture.",bande-dessinée;s'évader;se-cultiver;livre,Table de chevet,31262ece-a362-4847-be80-9373c7be63d9,3,AO,Chambre,6ac60b3d-66c2-4c41-ae31-43e87e776b4d,#153244,190,
Contrôler son état de santé,12be9e88-1b51-4ecb-8910-3ae17bc725c8,"Pour contrôler son état de santé, il est important de se renseigner auprès de professionnels de santé qualifiés, de prendre des rendez-vous réguliers et de suivre les prescriptions médicales. Pour cela, il est important d'avoir un médecin traitant déclaré qui peut être une ressource de confiance. Les applications mobiles et les objets connectés peuvent également être utiles pour suivre et enregistrer ses données de santé, notamment pour surveiller son poids et prévenir l'obésité, mais il est essentiel de veiller à leur fiabilité et à leur sécurité.",santé;obésité;poids,Balance,31255aa5-7160-4663-86e0-8358558abdca,2,B3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
"Avoir un bon usage de l’eau, faire attention à la pollution de l’eau",bac7a622-00b8-4ca4-aa88-e8819b7dbc69,"L'accès à l'eau est un droit, mais avec le réchauffement climatique la ressource en eau va diminuer et son accès sera de plus en plus contraint. Pour cela, il est nécessaire de faire attention à notre consommation d'eau. Pour réduire notre consommation nous pouvons adopter la pratique de récupération d'eau de pluie. ",économiser;usages;douche;qualitédel'eau,Chauffe eau,7852c0b7-c9ac-4834-a556-ad2e3b0bc996,1,A3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
"Avoir une bonne hygiène au quotidien (dents, mains)",ed8dd7bf-97bc-4edc-b531-bc5a3d30ae51,"Avoir une bonne hygiène au quotidien est essentiel pour maintenir une bonne santé. Cela implique de se laver les mains régulièrement, de prendre soin de sa peau et de sa bouche, de porter des vêtements propres et de veiller à l'hygiène de son environnement. En adoptant de bonnes pratiques d'hygiène, nous pouvons prévenir de nombreuses maladies et infections et vivre en meilleure santé",santé;hygiène;bonne-pratiques;microbe,Miroir et lavabo,f5849ae9-e6c3-462a-9dee-667517b5584a,1,B3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Bien vieillir,cb3c345d-98ef-47d2-9977-54e9b02d9af2,"Pour bien vieillir, il est important de maintenir une vie active et sociale, de veiller à une alimentation équilibrée et adaptée à ses besoins, et de faire régulièrement de l'exercice physique. Il est également essentiel de préserver sa santé mentale en pratiquant des activités qui favorisent le bien-être et en restant connecté avec ses proches et la communauté.",maintien-à-domicile;vieillir-entouré;prévoir-sa-fin-de-vie;maison-de-retraite,Miroir et lavabo,f5849ae9-e6c3-462a-9dee-667517b5584a,1,B3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Gérer son image et prendre conscience de soi,6fce679f-64a1-4f7e-b147-34e725246bd4,"Pour gérer son image et prendre conscience de soi, il est important de contrôler ses traces numériques, de ne pas surexposer sa vie privée en ligne et de respecter les autres sur les réseaux sociaux. Il est également essentiel de s'informer et de se former aux enjeux de la sécurité numérique pour protéger sa vie privée et son identité en ligne. Enfin, il est recommandé de prendre régulièrement du recul sur sa propre image en ligne pour éviter toute forme de surconsommation et de dépendance aux réseaux sociaux.
",réseau-sociaux;vie-privée;filtrephoto;image-de-soi,Miroir et lavabo,f5849ae9-e6c3-462a-9dee-667517b5584a,1,B3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Prendre soin de sa santé mentale,dc2cec5c-c2ed-4a2f-bbbf-1f71a88eac00,"Pour prendre soin de sa santé mentale, il est important de faire des activités relaxantes, de pratiquer une activité physique régulière et d'avoir une alimentation équilibrée. Il est également important de savoir quand demander de l'aide et de ne pas hésiter à consulter un professionnel de santé mentale si nécessaire.",psychologie;dépression;thérapie,Miroir et lavabo,f5849ae9-e6c3-462a-9dee-667517b5584a,1,B3,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
Accéder à un professionnel de santé,ef077fdb-9689-448b-96f4-89ec5c0a8194,"Pour accéder à un professionnel de santé de manière efficace, il est important de privilégier les services en ligne officiels et sécurisés, tels que les plateformes de rendez-vous médicaux. Il est également recommandé de se renseigner sur les sites internet et les applications proposant des conseils de santé, en vérifiant leur fiabilité et en évitant les informations alarmistes ou trompeuses. Les règles de confidentialité des données de santés ne sont pas anodine, aussi il est important de pas divulguer d'informations personnelles sensibles en ligne ou à n'importe qui.",santé;généraliste;médecin-traitant;hopital,Trousse à pharmacie,9a06be59-b668-4673-801b-774e9405e4a7,,,Salle de bain,7190a5b0-92e3-42cb-884e-73b5caa2d5b0,#db7665,260,25
